size    stride    elapsed(s)    cycles
262144    32    0.070043    70043
262144    64    0.070884    70883
262144    128    0.071351    71350
262144    256    0.073719    73719
262144    512    0.069876    69876
262144    1024    0.075523    75523
262144    2048    0.130103    130103
262144    4096    0.254968    254968
262144    8192    0.262079    262079
262144    16384    0.150554    150554
262144    32768    0.066102    66100
262144    65536    0.065979    65978
262144    131072    0.061685    61680
[LOG]: running with array of size 512 KiB
524288    1    0.116964    116965
524288    2    0.107930    107930
524288    4    0.121410    121409
524288    8    0.129734    129734
524288    16    0.123672    123673
524288    32    0.114536    114535
524288    64    0.121888    121888
524288    128    0.159465    159464
524288    256    0.181318    181317
524288    512    0.190835    190835
524288    1024    0.220240    220235
524288    2048    0.196479    196479
524288    4096    0.512417    512417
524288    8192    0.569303    569303
524288    16384    0.577034    577031
524288    32768    0.424383    424382
524288    65536    0.139295    139293
524288    131072    0.127476    127476
524288    262144    0.122650    122650
[LOG]: running with array of size 1024 KiB
1048576    1    0.232899    232900
1048576    2    0.225678    225678
1048576    4    0.284393    284392
1048576    8    0.289715    289715
1048576    16    0.273858    273859
1048576    32    0.237070    237070
1048576    64    0.242465    242464
1048576    128    0.297730    297730
1048576    256    0.375880    375879
1048576    512    0.438914    438914
1048576    1024    0.440169    440167
1048576    2048    0.391367    391367
1048576    4096    1.014685    1014684
1048576    8192    1.024259    1024259
1048576    16384    1.009029    1009029
1048576    32768    1.017588    1017587
1048576    65536    0.660088    660088
1048576    131072    0.262053    262052
1048576    262144    0.249303    249302
1048576    524288    0.237510    237509
[LOG]: running with array of size 2048 KiB
2097152    1    0.466746    466746
2097152    2    0.452124    452125
2097152    4    0.504760    504756
2097152    8    0.530949    530950
2097152    16    0.493705    493706
2097152    32    0.462357    462356
2097152    64    0.473137    473137
2097152    128    0.572554    572553
2097152    256    0.710256    710255
2097152    512    0.739058    739057
2097152    1024    0.756394    756393
2097152    2048    0.687767    687767
2097152    4096    1.977007    1977006
2097152    8192    1.980604    1980603
2097152    16384    2.011783    2011783
2097152    32768    1.953518    1953518
2097152    65536    1.833807    1833807
2097152    131072    1.250402    1250401
2097152    262144    0.524943    524943
2097152    524288    0.484447    484447
2097152    1048576    0.463385    463385
[LOG]: running with array of size 4096 KiB
4194304    1    0.888580    888581
4194304    2    0.849192    849193
4194304    4    0.962461    962461
4194304    8    0.972949    972949
4194304    16    0.981725    981725
4194304    32    0.944583    944583
4194304    64    1.029795    1029794
4194304    128    1.355018    1355018
4194304    256    1.684089    1684088
4194304    512    1.765575    1765575
4194304    1024    1.902795    1902795
4194304    2048    2.287801    2287801
4194304    4096    4.040813    4040812
4194304    8192    3.963269    3963269
4194304    16384    4.007349    4007349
4194304    32768    3.998463    3998462
4194304    65536    4.016638    4016638
4194304    131072    3.932819    3932818
4194304    262144    2.508548    2508548
4194304    524288    1.044750    1044750
4194304    1048576    0.967062    967062
4194304    2097152    0.925645    925645
