size    stride    elapsed(s)    cycles
[LOG]: running with array of size 4 KiB
4096    1    0.002791    2796
4096    2    0.001042    1041
4096    4    0.000981    981
4096    8    0.000948    948
4096    16    0.000982    981
4096    32    0.001047    1047
4096    64    0.000995    995
4096    128    0.000998    998
4096    256    0.000944    944
4096    512    0.000915    915
4096    1024    0.000895    895
4096    2048    0.000884    885
[LOG]: running with array of size 8 KiB
8192    1    0.002064    2076
8192    2    0.002096    2095
8192    4    0.002118    2118
8192    8    0.002064    2063
8192    16    0.002092    2091
8192    32    0.002039    2039
8192    64    0.001926    1926
8192    128    0.001909    1909
8192    256    0.001923    1923
8192    512    0.001768    1769
8192    1024    0.001903    1902
8192    2048    0.001865    1864
8192    4096    0.001898    1898
[LOG]: running with array of size 16 KiB
16384    1    0.004049    4049
16384    2    0.003989    3990
16384    4    0.004063    4063
16384    8    0.003918    3918
16384    16    0.003950    3949
16384    32    0.003937    3937
16384    64    0.003959    3959
16384    128    0.004255    4253
16384    256    0.003884    3884
16384    512    0.003732    3732
16384    1024    0.003536    3536
16384    2048    0.003860    3859
16384    4096    0.003921    3921
16384    8192    0.003768    3768
[LOG]: running with array of size 32 KiB
32768    1    0.008001    7999
32768    2    0.007949    7949
32768    4    0.008030    8030
32768    8    0.008003    8003
32768    16    0.007836    7836
32768    32    0.007959    7958
32768    64    0.007894    7893
32768    128    0.008002    8001
32768    256    0.007828    7828
32768    512    0.007952    7952
32768    1024    0.007591    7590
32768    2048    0.007604    7603
32768    4096    0.007835    7836
32768    8192    0.008006    8005
32768    16384    0.007591    7591
[LOG]: running with array of size 64 KiB
65536    1    0.014407    14407
65536    2    0.013780    13780
65536    4    0.015401    15401
65536    8    0.016027    16027
65536    16    0.016337    16337
65536    32    0.015765    15765
65536    64    0.014621    14620
65536    128    0.013675    13674
65536    256    0.013653    13653
65536    512    0.014053    14053
65536    1024    0.014540    14540
65536    2048    0.036918    36917
65536    4096    0.036073    36073
65536    8192    0.015900    15900
65536    16384    0.015511    15511
65536    32768    0.014852    14852
[LOG]: running with array of size 128 KiB
131072    1    0.028434    28434
131072    2    0.026969    26969
131072    4    0.030423    30424
131072    8    0.031494    31494
131072    16    0.031514    31514
131072    32    0.030810    30809
131072    64    0.029776    29776
131072    128    0.028896    28896
131072    256    0.031473    31473
131072    512    0.030634    30634
131072    1024    0.032675    32675
131072    2048    0.066166    66166
131072    4096    0.113824    113824
131072    8192    0.109040    109039
131072    16384    0.033381    33380
131072    32768    0.032787    32787
131072    65536    0.030914    30913
[LOG]: running with array of size 256 KiB
262144    1    0.062433    62433
262144    2    0.061636    61636
262144    4    0.068826    68825
262144    8    0.067263    67264
262144    16    0.071607    71608
