size    stride    elapsed(s)    cycles
[LOG]: running with array of size 4 KiB
4096    1    0.003108    3112
4096    2    0.001066    1066
4096    4    0.001033    1033
4096    8    0.001028    1028
4096    16    0.001029    1029
4096    32    0.001013    1013
4096    64    0.000995    996
4096    128    0.000930    930
4096    256    0.000929    928
4096    512    0.000906    906
4096    1024    0.000873    873
4096    2048    0.000956    955
[LOG]: running with array of size 8 KiB
8192    1    0.002165    2166
8192    2    0.002041    2041
8192    4    0.002035    2035
8192    8    0.001937    1936
8192    16    0.001977    1977
8192    32    0.001985    1985
8192    64    0.001992    1992
8192    128    0.001947    1947
8192    256    0.002056    2054
8192    512    0.001906    1905
8192    1024    0.001815    1814
8192    2048    0.001869    1868
8192    4096    0.001880    1880
[LOG]: running with array of size 16 KiB
16384    1    0.003999    3998
16384    2    0.004082    4080
16384    4    0.004069    4071
16384    8    0.003813    3813
16384    16    0.004026    4026
16384    32    0.003919    3919
16384    64    0.004162    4162
16384    128    0.004134    4134
16384    256    0.003884    3884
16384    512    0.003711    3711
16384    1024    0.003684    3684
16384    2048    0.003688    3687
16384    4096    0.003838    3837
16384    8192    0.003690    3690
[LOG]: running with array of size 32 KiB
32768    1    0.008245    8245
32768    2    0.007873    7873
32768    4    0.008136    8135
32768    8    0.007935    7934
32768    16    0.007831    7831
32768    32    0.006980    6979
32768    64    0.008454    8450
32768    128    0.008135    8135
32768    256    0.008080    8079
32768    512    0.007835    7835
32768    1024    0.007798    7797
32768    2048    0.007449    7449
32768    4096    0.007988    7987
32768    8192    0.007775    7774
32768    16384    0.007554    7552
[LOG]: running with array of size 64 KiB
65536    1    0.014596    14596
65536    2    0.013841    13840
65536    4    0.015817    15818
65536    8    0.015994    15994
65536    16    0.016017    16016
65536    32    0.015658    15658
65536    64    0.014092    14091
65536    128    0.014207    14206
65536    256    0.013564    13564
65536    512    0.013972    13971
65536    1024    0.014488    14488
65536    2048    0.017061    17061
65536    4096    0.035976    35976
65536    8192    0.015599    15598
65536    16384    0.015638    15638
65536    32768    0.014812    14812
[LOG]: running with array of size 128 KiB
131072    1    0.028432    28431
131072    2    0.027459    27459
131072    4    0.031866    31865
131072    8    0.031627    31626
131072    16    0.032365    32365
131072    32    0.030477    30476
131072    64    0.028172    28171
131072    128    0.030475    30475
131072    256    0.030833    30833
131072    512    0.031619    31619
131072    1024    0.032714    32713
131072    2048    0.072611    72611
131072    4096    0.136280    136280
131072    8192    0.071037    71037
