size    stride    elapsed(s)    cycles
131072    16384    0.031194    31193
131072    32768    0.030628    30627
131072    65536    0.029186    29186
[LOG]: running with array of size 256 KiB
262144    1    0.056939    56939
262144    2    0.053122    53121
262144    4    0.062212    62212
262144    8    0.062494    62494
262144    16    0.061972    61972
262144    32    0.059286    59285
262144    64    0.057285    57284
262144    128    0.067265    67265
262144    256    0.075410    75411
262144    512    0.080208    80208
262144    1024    0.081556    81556
262144    2048    0.155857    155856
262144    4096    0.269164    269163
262144    8192    0.260426    260426
262144    16384    0.166048    166048
262144    32768    0.062140    62140
262144    65536    0.060750    60750
262144    131072    0.058992    58991
[LOG]: running with array of size 512 KiB
524288    1    0.112220    112220
524288    2    0.108017    108016
524288    4    0.124203    124202
524288    8    0.124523    124523
524288    16    0.125354    125353
524288    32    0.120014    120014
524288    64    0.118589    118588
524288    128    0.146872    146872
524288    256    0.170710    170710
524288    512    0.179705    179705
524288    1024    0.179080    179079
524288    2048    0.172831    172831
524288    4096    0.519564    519563
524288    8192    0.512823    512824
524288    16384    0.519617    519617
524288    32768    0.310925    310925
524288    65536    0.131844    131843
524288    131072    0.121865    121865
524288    262144    0.116175    116174
[LOG]: running with array of size 1024 KiB
1048576    1    0.222324    222324
1048576    2    0.213007    213007
1048576    4    0.249515    249515
1048576    8    0.248060    248061
1048576    16    0.247829    247829
1048576    32    0.240953    240953
1048576    64    0.238936    238935
1048576    128    0.297367    297366
1048576    256    0.357584    357583
1048576    512    0.369591    369591
1048576    1024    0.378081    378081
1048576    2048    0.341574    341574
1048576    4096    1.003633    1003633
1048576    8192    1.034420    1034419
1048576    16384    1.060599    1060598
1048576    32768    1.021392    1021392
1048576    65536    0.900496    900496
1048576    131072    0.267076    267076
1048576    262144    0.248389    248390
1048576    524288    0.232392    232393
[LOG]: running with array of size 2048 KiB
2097152    1    0.449378    449379
2097152    2    0.427375    427374
2097152    4    0.500823    500822
2097152    8    0.502001    502001
2097152    16    0.494788    494788
2097152    32    0.478366    478366
2097152    64    0.481436    481436
2097152    128    0.602393    602393
2097152    256    0.731876    731875
2097152    512    0.754120    754119
2097152    1024    0.767135    767135
2097152    2048    0.699685    699684
2097152    4096    2.032840    2032839
2097152    8192    2.023318    2023318
2097152    16384    2.099487    2099486
2097152    32768    1.979671    1979671
2097152    65536    1.857438    1857437
2097152    131072    1.271351    1271351
2097152    262144    0.531051    531051
2097152    524288    0.492196    492196
2097152    1048576    0.469648    469647
[LOG]: running with array of size 4096 KiB
4194304    1    0.894532    894531
4194304    2    0.859930    859930
4194304    4    1.025503    1025503
4194304    8    1.083500    1083500
4194304    16    1.109890    1109890
4194304    32    1.146264    1146263
4194304    64    1.326486    1326486
4194304    128    1.747793    1747793
4194304    256    1.793925    1793925
4194304    512    1.811099    1811099
4194304    1024    1.903743    1903743
4194304    2048    1.919922    1919922
4194304    4096    4.051857    4051857
4194304    8192    4.081069    4081069
4194304    16384    4.196823    4196824
4194304    32768    4.048941    4048941
4194304    65536    3.863429    3863429
4194304    131072    3.660002    3660002
4194304    262144    2.498066    2498066
4194304    524288    1.038444    1038444
4194304    1048576    0.961469    961469
4194304    2097152    0.930446    930446
