size    stride    elapsed(s)    cycles
[LOG]: running with array of size 4 KiB
4096    1    0.003448    3453
4096    2    0.001107    1106
4096    4    0.001090    1090
4096    8    0.001045    1044
4096    16    0.001080    1079
4096    32    0.001069    1069
4096    64    0.001041    1041
4096    128    0.001037    1037
4096    256    0.000970    970
4096    512    0.000951    950
4096    1024    0.000924    923
4096    2048    0.000919    919
[LOG]: running with array of size 8 KiB
8192    1    0.002183    2183
8192    2    0.002165    2165
8192    4    0.002161    2160
8192    8    0.002093    2093
8192    16    0.002141    2140
8192    32    0.002152    2150
8192    64    0.002144    2144
8192    128    0.002007    2007
8192    256    0.001941    1941
8192    512    0.001769    1769
8192    1024    0.001738    1738
8192    2048    0.001789    1789
8192    4096    0.001898    1898
[LOG]: running with array of size 16 KiB
16384    1    0.004011    4010
16384    2    0.004179    4179
16384    4    0.003994    3994
16384    8    0.003854    3854
16384    16    0.004079    4079
16384    32    0.004054    4054
16384    64    0.003989    3988
16384    128    0.003873    3874
16384    256    0.003949    3948
16384    512    0.003945    3945
16384    1024    0.003610    3609
16384    2048    0.003680    3680
16384    4096    0.003880    3881
16384    8192    0.004054    4054
[LOG]: running with array of size 32 KiB
32768    1    0.007864    7864
32768    2    0.008006    8005
32768    4    0.007855    7854
32768    8    0.007857    7856
32768    16    0.007669    7669
32768    32    0.007560    7559
32768    64    0.008104    8122
32768    128    0.007909    7909
32768    256    0.007935    7935
32768    512    0.007662    7662
32768    1024    0.007661    7661
32768    2048    0.007251    7250
32768    4096    0.008044    8044
32768    8192    0.007734    7734
32768    16384    0.007486    7485
[LOG]: running with array of size 64 KiB
65536    1    0.014289    14289
65536    2    0.013550    13548
65536    4    0.015293    15292
65536    8    0.015911    15910
65536    16    0.015983    15984
65536    32    0.016129    16128
65536    64    0.014586    14586
65536    128    0.015681    15681
65536    256    0.016172    16171
65536    512    0.016592    16592
65536    1024    0.018086    18085
65536    2048    0.048470    48470
65536    4096    0.040761    40761
65536    8192    0.015682    15682
65536    16384    0.015478    15477
65536    32768    0.014774    14774
[LOG]: running with array of size 128 KiB
131072    1    0.028480    28480
131072    2    0.026551    26550
131072    4    0.030810    30810
131072    8    0.031380    31380
131072    16    0.031047    31047
131072    32    0.030570    30570
131072    64    0.028139    28139
131072    128    0.031481    31480
131072    256    0.033628    33628
131072    512    0.033824    33823
131072    1024    0.034761    34761
131072    2048    0.089144    89144
131072    4096    0.134367    134367
