size    stride    elapsed(s)    cycles
131072    8192    0.098873    98872
131072    16384    0.031152    31152
131072    32768    0.030382    30382
131072    65536    0.029274    29273
[LOG]: running with array of size 256 KiB
262144    1    0.055970    55970
262144    2    0.053129    53129
262144    4    0.060152    60152
262144    8    0.061913    61913
262144    16    0.061170    61170
262144    32    0.064971    64970
262144    64    0.074741    74737
262144    128    0.086765    86765
262144    256    0.093363    93362
262144    512    0.088595    88595
262144    1024    0.093217    93217
262144    2048    0.157220    157221
262144    4096    0.296990    296990
262144    8192    0.261253    261253
262144    16384    0.211924    211923
262144    32768    0.062311    62310
262144    65536    0.064071    64070
262144    131072    0.061987    61986
[LOG]: running with array of size 512 KiB
524288    1    0.116055    116055
524288    2    0.117569    117569
524288    4    0.124019    124019
524288    8    0.130639    130637
524288    16    0.138011    138012
524288    32    0.120311    120311
524288    64    0.117195    117195
524288    128    0.150906    150905
524288    256    0.171193    171193
524288    512    0.167496    167495
524288    1024    0.182233    182233
524288    2048    0.240460    240460
524288    4096    0.531913    531912
524288    8192    0.534221    534220
524288    16384    0.490548    490547
524288    32768    0.317771    317771
524288    65536    0.131439    131439
524288    131072    0.124325    124324
524288    262144    0.120091    120090
[LOG]: running with array of size 1024 KiB
1048576    1    0.223482    223483
1048576    2    0.218530    218529
1048576    4    0.246591    246590
1048576    8    0.254096    254096
1048576    16    0.251460    251459
1048576    32    0.235926    235926
1048576    64    0.240170    240170
1048576    128    0.290404    290404
1048576    256    0.358672    358671
1048576    512    0.367248    367248
1048576    1024    0.392197    392196
1048576    2048    0.406787    406785
1048576    4096    1.088364    1088363
1048576    8192    1.093544    1093543
1048576    16384    1.071114    1071114
1048576    32768    1.017666    1017665
1048576    65536    0.649091    649092
1048576    131072    0.273043    273042
1048576    262144    0.253947    253946
1048576    524288    0.241007    241007
[LOG]: running with array of size 2048 KiB
2097152    1    0.459999    459998
2097152    2    0.454357    454359
2097152    4    0.510834    510833
2097152    8    0.540935    540934
2097152    16    0.497898    497898
2097152    32    0.529969    529968
2097152    64    0.623186    623185
2097152    128    0.837285    837284
2097152    256    0.797081    797080
2097152    512    0.800327    800323
2097152    1024    0.828413    828412
2097152    2048    0.805647    805646
2097152    4096    2.188940    2188939
2097152    8192    2.078975    2078959
2097152    16384    2.053586    2053585
2097152    32768    1.997517    1997517
2097152    65536    1.851621    1851621
2097152    131072    1.852659    1852658
2097152    262144    0.545556    545554
2097152    524288    0.506823    506823
2097152    1048576    0.483507    483507
[LOG]: running with array of size 4096 KiB
4194304    1    0.942968    942968
4194304    2    0.882979    882980
4194304    4    1.079832    1079830
4194304    8    1.186576    1186579
4194304    16    1.107386    1107386
4194304    32    1.243773    1243773
4194304    64    1.449697    1449697
4194304    128    1.808257    1808256
4194304    256    1.900982    1900982
4194304    512    2.117975    2117974
4194304    1024    2.358201    2358201
4194304    2048    2.512620    2512620
4194304    4096    4.436825    4436825
4194304    8192    4.063337    4063337
4194304    16384    4.094135    4094134
4194304    32768    3.938224    3938224
4194304    65536    3.626194    3626194
4194304    131072    3.848352    3848352
4194304    262144    3.394321    3394321
4194304    524288    1.035321    1035321
4194304    1048576    0.966203    966202
4194304    2097152    0.926588    926588
