size    stride    elapsed(s)    cycles
[LOG]: running with array of size 4 KiB
4096    1    0.002792    2796
4096    2    0.001108    1109
4096    4    0.001070    1069
4096    8    0.001037    1037
4096    16    0.001066    1066
4096    32    0.001041    1041
4096    64    0.001021    1021
4096    128    0.001058    1058
4096    256    0.000927    926
4096    512    0.000901    901
4096    1024    0.000881    881
4096    2048    0.000844    843
[LOG]: running with array of size 8 KiB
8192    1    0.001987    1986
8192    2    0.002098    2099
8192    4    0.002004    2004
8192    8    0.002042    2041
8192    16    0.002027    2027
8192    32    0.002015    2015
8192    64    0.001998    1999
8192    128    0.001921    1920
8192    256    0.001896    1896
8192    512    0.001913    1912
8192    1024    0.001734    1734
8192    2048    0.001890    1888
8192    4096    0.001915    1914
[LOG]: running with array of size 16 KiB
16384    1    0.004044    4043
16384    2    0.003996    3996
16384    4    0.003969    3970
16384    8    0.003936    3935
16384    16    0.004220    4220
16384    32    0.003902    3902
16384    64    0.003948    3948
16384    128    0.004019    4018
16384    256    0.003951    3951
16384    512    0.003900    3900
16384    1024    0.003606    3606
16384    2048    0.003998    3996
16384    4096    0.004043    4042
16384    8192    0.003810    3809
[LOG]: running with array of size 32 KiB
32768    1    0.007890    7890
32768    2    0.008001    8001
32768    4    0.007809    7809
32768    8    0.008101    8100
32768    16    0.007470    7469
32768    32    0.007570    7570
32768    64    0.006948    6948
32768    128    0.008061    8061
32768    256    0.007827    7827
32768    512    0.007854    7853
32768    1024    0.007737    7737
32768    2048    0.007539    7537
32768    4096    0.007806    7805
32768    8192    0.007771    7770
32768    16384    0.007443    7443
[LOG]: running with array of size 64 KiB
65536    1    0.014356    14356
65536    2    0.013710    13709
65536    4    0.015667    15665
65536    8    0.016043    16043
65536    16    0.015534    15533
65536    32    0.015563    15561
65536    64    0.013453    13453
65536    128    0.013893    13893
65536    256    0.013687    13687
65536    512    0.013879    13878
65536    1024    0.014315    14314
65536    2048    0.018699    18698
65536    4096    0.049811    49811
65536    8192    0.015796    15796
65536    16384    0.015407    15405
65536    32768    0.014811    14811
[LOG]: running with array of size 128 KiB
131072    1    0.028819    28819
131072    2    0.026962    26961
131072    4    0.030710    30710
131072    8    0.032397    32396
131072    16    0.031401    31401
131072    32    0.031143    31143
131072    64    0.028679    28679
131072    128    0.030614    30614
131072    256    0.032475    32475
131072    512    0.033019    33018
131072    1024    0.033337    33337
131072    2048    0.076480    76480
131072    4096    0.130169    130169
131072    8192    0.070710    70710
131072    16384    0.031294    31294
131072    32768    0.031096    31096
131072    65536    0.030319    30318
[LOG]: running with array of size 256 KiB
262144    1    0.057095    57095
262144    2    0.053492    53492
262144    4    0.060832    60832
262144    8    0.062531    62531
262144    16    0.061126    61127
262144    32    0.060614    60614
262144    64    0.056737    56736
262144    128    0.062985    62984
262144    256    0.069234    69233
262144    512    0.074700    74700
262144    1024    0.075942    75942
262144    2048    0.123841    123840
262144    4096    0.240490    240490
262144    8192    0.242325    242325
262144    16384    0.162985    162985
262144    32768    0.063180    63180
262144    65536    0.061754    61753
262144    131072    0.058935    58935
[LOG]: running with array of size 512 KiB
524288    1    0.111675    111676
524288    2    0.109315    109314
524288    4    0.122495    122494
524288    8    0.125501    125501
524288    16    0.121016    121016
524288    32    0.117386    117386
524288    64    0.117794    117794
524288    128    0.142697    142696
524288    256    0.169475    169474
524288    512    0.176844    176844
524288    1024    0.179741    179740
524288    2048    0.172427    172427
524288    4096    0.493650    493650
524288    8192    0.498505    498504
524288    16384    0.498786    498786
524288    32768    0.428479    428478
524288    65536    0.129815    129814
524288    131072    0.122809    122808
524288    262144    0.115455    115455
[LOG]: running with array of size 1024 KiB
1048576    1    0.220768    220769
1048576    2    0.212195    212196
1048576    4    0.244398    244398
1048576    8    0.246710    246710
1048576    16    0.241056    241056
1048576    32    0.231045    231045
1048576    64    0.231893    231894
1048576    128    0.283810    283810
1048576    256    0.355345    355345
1048576    512    0.368954    368954
1048576    1024    0.381510    381509
1048576    2048    0.340315    340315
1048576    4096    0.994225    994225
1048576    8192    1.024395    1024395
1048576    16384    0.993163    993163
1048576    32768    0.917019    917019
1048576    65536    0.626287    626286
1048576    131072    0.261706    261706
1048576    262144    0.242267    242266
1048576    524288    0.232265    232265
[LOG]: running with array of size 2048 KiB
2097152    1    0.442280    442280
2097152    2    0.422675    422676
2097152    4    0.484473    484472
2097152    8    0.495853    495853
2097152    16    0.483603    483603
2097152    32    0.463467    463467
2097152    64    0.463536    463536
2097152    128    0.572933    572933
2097152    256    0.713576    713576
2097152    512    0.740760    740759
2097152    1024    0.758330    758331
2097152    2048    0.681000    680999
2097152    4096    2.032485    2032485
2097152    8192    2.091952    2091951
2097152    16384    2.012983    2012983
2097152    32768    1.985333    1985333
2097152    65536    1.856758    1856757
2097152    131072    1.254779    1254778
2097152    262144    0.519284    519283
2097152    524288    0.482674    482674
2097152    1048576    0.461146    461147
[LOG]: running with array of size 4096 KiB
4194304    1    0.883407    883408
4194304    2    0.844229    844229
4194304    4    0.968817    968817
4194304    8    0.991933    991933
4194304    16    0.977948    977948
4194304    32    0.947303    947303
4194304    64    0.995289    995289
4194304    128    1.282077    1282077
4194304    256    1.593808    1593808
4194304    512    1.830646    1830646
4194304    1024    1.917914    1917914
4194304    2048    1.757721    1757721
4194304    4096    3.970256    3970256
4194304    8192    4.003243    4003242
4194304    16384    3.875827    3875827
4194304    32768    3.907386    3907386
4194304    65536    3.907247    3907247
4194304    131072    3.680702    3680702
4194304    262144    2.513715    2513715
4194304    524288    1.042366    1042366
4194304    1048576    0.967941    967941
4194304    2097152    0.926931    926931
