# 1
1 0.000680 0.000160 0.000229 0.000674 0.003145 0.024032 0.030317 0.032426 0.032497 
# 2
2 0.000127 0.000046 0.000096 0.000642 0.003615 0.043884 0.060430 0.064957 0.064934 
# 4
4 0.000045 0.000037 0.000085 0.000661 0.008647 0.077719 0.120689 0.129969 0.129963 
# 8
8 0.000046 0.000055 0.000104 0.000643 0.009807 0.150557 0.241441 0.260977 0.261005 
# 16
16 0.000163 0.000043 0.000123 0.002324 0.008364 0.283622 0.489280 0.529371 0.529662 
# 32
32 0.000051 0.000058 0.000095 0.007299 0.008745 0.539461 0.937577 1.015964 1.015261 
# 64
64 0.000026 0.000041 0.000100 0.005794 0.017424 1.008373 1.782850 1.937277 1.932629 
# 128
128 0.000027 0.000028 0.000066 0.003043 0.007710 1.125819 2.571030 2.840634 2.843575 
# 256
256 0.000021 0.000023 0.000047 0.004546 0.009293 1.692478 3.977963 4.492526 4.534848 
# 512
512 0.000026 0.000012 0.000042 0.003389 0.010411 1.865983 4.148908 4.787991 4.856167 
# 1024
1024 0.000017 0.000017 0.000028 0.000220 0.008571 1.720562 4.218054 5.045886 5.088408 
# 2048
2048 0.000026 0.000002 0.000021 0.044343 0.366418 1.548063 3.962059 3.021784 3.065073 
# 4096
4096 0.000007 0.000005 0.000021 0.000220 0.007995 2.092334 3.025545 3.364537 3.348796 
# 8192
8192 0.0 0.000004 0.000006 0.000016 0.001962 0.006600 4.534642 2.699730 3.352760 
# 16384
16384 0.0 0.0 0.000005 0.000001 0.000124 0.002386 0.000281 4.616720 3.061499 
# 32768
32768 0.0 0.0 0.0 0.000014 0.000070 0.000014 0.000034 0.000298 1.601939 
# 65536
65536 0.0 0.0 0.0 0.0 0.000066 0.000009 0.000001 0.000024 0.000240 
# 131072
131072 0.0 0.0 0.0 0.0 0.0 0.000006 0.000002 0.000003 0.000067 
# 262144
262144 0.0 0.0 0.0 0.0 0.0 0.0 0.000001 0.000001 0.000008 
# 524288
524288 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.000002 0.000005 
# 1048576
1048576 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.000005 
